Обява от:,Location,Вид на имота:,Квадратура:,Вид строителство:,Година на строителство:,Степен на завършеност:,Номер на етажа:,Етаж:,Асансьор,price,До ключ,Обзаведен,ТЕЦ,Портиер/Охрана,Газифициран,Локално отопление,Необзаведен,Панорама планина,Саниран,Гараж/Паркомясто,След ремонт,Замяна/Бартер,Лизинг,Камина,Ипотекиран
,"Бъкстон, град София, област  София
			",Многостаен апартамент,300 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),В строеж,8 етаж,Непоследен,1.0,299900,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,
http://koevski.alo.bg,"Гоце Делчев, град София, област  София, (Виж Гоце Делчев на картата)
",Многостаен апартамент,391 кв.м,Тухла,2010 г. (годината може да е ориентировъчна),Готов (завършен),10 етаж,Последен етаж,1.0,390000,,1.0,,,,,,,,,,,,,
http://temenugare.alo.bg,"Лагера, град София, област  София, (Виж Лагера на картата)
",Мезонет,138 кв.м,Тухла,2006 г. (годината може да е ориентировъчна),Готов (завършен),6 етаж,Последен етаж,1.0,190000,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,
http://inacvetkovanedvijimiimoti.alo.bg,"Малинова Долина, град София, област  София, (Виж Малинова Долина на картата)
",Двустаен апартамент,79 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Последен етаж,1.0,86500,,,,,1.0,,,,,,,,,,
http://inacvetkovanedvijimiimoti.alo.bg,"Витоша, град София, област  София, (Виж Витоша на картата)
",Двустаен апартамент,59 кв.м,Тухла,2019 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,87500,1.0,1.0,,,,,,,,,1.0,,,,
http://inacvetkovanedvijimiimoti.alo.bg,"Гоце Делчев, град София, област  София, (Виж Гоце Делчев на картата)
",Двустаен апартамент,72 кв.м,Тухла,2005 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,,140000,,,,,,,,,,,,,,,
http://inacvetkovanedvijimiimoti.alo.bg,"Овча Купел, град София, област  София, (Виж Овча Купел на картата)
",Двустаен апартамент,83 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Първи жилищен,,79000,,,,,,,,,,,,,,,
http://inacvetkovanedvijimiimoti.alo.bg,"Малинова Долина, град София, област  София, (Виж Малинова Долина на картата)
",Двустаен апартамент,56 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,89900,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,
http://imotivasilev.alo.bg,"Овча Купел 2, град София, област  София, (Виж Овча Купел 2 на картата)
",Двустаен апартамент,77 кв.м,Тухла,2008 г. (годината може да е ориентировъчна),В строеж,5 етаж,,,75000,,,,,,,,,,,,,,,
http://georgipenev.alo.bg,"Център, град София, област  София, (Виж Център на картата)
",Двустаен апартамент,76 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Последен етаж,1.0,99990,,,,,,,,,,1.0,,,,,
,"Студентски Град, град София, област  София, (Виж Студентски Град на картата)
",Двустаен апартамент,75 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),Готов (завършен),,Непоследен,1.0,82000,,,,,,,,,,1.0,,,,,
,"Студентски Град, град София, област  София, (Виж Студентски Град на картата)
",Двустаен апартамент,60 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),10 етаж,Непоследен,1.0,86000,,1.0,,,,1.0,,,,1.0,,,,,
http://galeriahomes.alo.bg,"Витоша, град София, област  София, (Виж Витоша на картата)
",Тристаен апартамент,86 кв.м,Тухла,2019 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,128000,,1.0,,,,,,1.0,1.0,1.0,,,,,
,"Сухата река, град София, област  София
			",Многостаен апартамент,110 кв.м,Тухла,1980 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Първи жилищен,1.0,165000,,,,,,,1.0,,,,,,,,
http://avista_expo.alo.bg,"Хаджи Димитър, град София, област  София, (Виж Хаджи Димитър на картата)
",Двустаен апартамент,57 кв.м,Панел,1968 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,72000,,,1.0,,,,,,,,,,,,
,"Овча Купел, град София, област  София, (Виж Овча Купел на картата)
",Тристаен апартамент,116 кв.м,Тухла,2023 г. (годината може да е ориентировъчна),В строеж,4 етаж,Непоследен,1.0,104400,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
,"Овча Купел, град София, област  София, (Виж Овча Купел на картата)
",Двустаен апартамент,72 кв.м,Тухла,2023 г. (годината може да е ориентировъчна),В строеж,3 етаж,Непоследен,1.0,64800,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
http://galeriahomes.alo.bg,"Манастирски Ливади, град София, област  София, (Виж Манастирски Ливади на картата)
",Двустаен апартамент,69 кв.м,Тухла,2009 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,135000,,1.0,1.0,,,,,,1.0,,1.0,,,,
,"Люлин 3, град София, област  София, (Виж Люлин 3 на картата)
",Двустаен апартамент,64 кв.м,ЕПК/ПК,1990 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Първи жилищен,1.0,80000,,,1.0,,,1.0,1.0,,,,,,,,
,"Люлин 2, град София, област  София, (Виж Люлин 2 на картата)
",Двустаен апартамент,63 кв.м,ЕПК/ПК,1990 г. (годината може да е ориентировъчна),Готов (завършен),,Непоследен,1.0,89000,1.0,1.0,,,,,1.0,,,,,,,,
,"Бояна, град София, област  София, (Виж Бояна на картата)
",Тристаен апартамент,174 кв.м,Тухла,2017 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,,260000,,,,,,1.0,1.0,1.0,,,,,,,
,"Медицинска академия, град София, област  София, (Виж Медицинска академия на картата)
",Двустаен апартамент,72 кв.м,Тухла,1970 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,,137900,,,1.0,,,1.0,1.0,,,,,,,,
,"Лагера, град София, област  София, (Виж Лагера на картата)
",Тристаен апартамент,109 кв.м,Тухла,1970 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Първи жилищен,1.0,173092,,,1.0,,,,,,,,,,,,
http://prosperity-d.alo.bg,"Овча Купел 1, град София, област  София, (Виж Овча Купел 1 на картата)
",Двустаен апартамент,66 кв.м,Тухла,2010 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Първи жилищен,1.0,99000,1.0,1.0,,,,,,,1.0,,,,,,
http://prodavamkasta.alo.bg,"Обеля, град София, област  София, (Виж Обеля на картата)
",Двустаен апартамент,89 кв.м,Тухла,2022 г. (годината може да е ориентировъчна),В строеж,3 етаж,Непоследен,1.0,109470,,,1.0,,,,,1.0,,1.0,,,,,
,"Хаджи Димитър, град София, област  София, (Виж Хаджи Димитър на картата)
",Тристаен апартамент,90 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),Готов (завършен),10 етаж,Последен етаж,1.0,120000,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,
http://prosperity-d.alo.bg,"Овча Купел 1, град София, област  София, (Виж Овча Купел 1 на картата)
",Двустаен апартамент,84 кв.м,Тухла,2010 г. (годината може да е ориентировъчна),Готов (завършен),7 етаж,Последен етаж,1.0,98880,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,
,"Лозенец, град София, област  София, (Виж Лозенец на картата)
",Двустаен апартамент,67 кв.м,Тухла,2010 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Първи жилищен,1.0,135000,1.0,1.0,,,,1.0,,,,,,,,,
,"Подуяне, град София, област  София, (Виж Подуяне на картата)
",Двустаен апартамент,72 кв.м,Тухла,1969 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,,69900,1.0,,,,,,1.0,,,,,,,,
,"Драгалевци, град София, област  София, (Виж Драгалевци на картата)
",Многостаен апартамент,220 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Последен етаж,1.0,249999,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,
http://artis.alo.bg,"Хладилника, град София, област  София, (Виж Хладилника на картата)
",Тристаен апартамент,129 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),6 етаж,Непоследен,1.0,185500,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,
http://artis.alo.bg,"Център, град София, област  София, (Виж Център на картата)
",Двустаен апартамент,77 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),В строеж,3 етаж,Непоследен,1.0,100000,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,
,"Център, град София, област  София, (Виж Център на картата)
",Двустаен апартамент,64 кв.м,Тухла,2008 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,1.0,124000,1.0,1.0,,,,1.0,,,,1.0,,,,,
http://suprimmo.alo.bg,"Гоце Делчев, град София, област  София
			",Тристаен апартамент,138.28 кв.м,Тухла,,,6 етаж,,1.0,242000,,,1.0,,,,1.0,1.0,,1.0,,,,,
,"Младост 3, град София, област  София, (Виж Младост 3 на картата)
",Многостаен апартамент,80 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),В строеж,4 етаж,Първи жилищен,1.0,96000,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,
,"Връбница 1, град София, област  София, (Виж Връбница 1 на картата)
",Тристаен апартамент,92 кв.м,Панел,1978 г. (годината може да е ориентировъчна),Готов (завършен),6 етаж,Непоследен,1.0,113999,1.0,1.0,,,,,,,1.0,,1.0,,,,
http://arsenal-estate.alo.bg,"Белите Брези, град София, област  София, (Виж Белите Брези на картата)
",Двустаен апартамент,91 кв.м,Тухла,2022 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,132000,1.0,,1.0,,,,1.0,,,,,,,,
http://arsenal-estate.alo.bg,"Белите Брези, град София, област  София, (Виж Белите Брези на картата)
",Тристаен апартамент,122 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,175000,1.0,,1.0,,,,1.0,,,1.0,,,,,
http://avista_expo.alo.bg,"Белите Брези, град София, област  София, (Виж Белите Брези на картата)
",Тристаен апартамент,130 кв.м,Тухла,2000 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,195000,,1.0,1.0,,,,,,,,,,,,
http://prosperity-d.alo.bg,"Център, град София, област  София, (Виж Център на картата)
",Тристаен апартамент,110 кв.м,Тухла,1940 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,,190000,1.0,1.0,1.0,,,,,,,,1.0,,,,
http://suprimmo.alo.bg,"Дървеница, град София, област  София
			",Тристаен апартамент,105.01 кв.м,Тухла,,,7 етаж,,,134408,,,,,,1.0,1.0,,,,,,,,
http://duo-estate.alo.bg,"м. Гърдова глава, град София, област  София, (Виж м. Гърдова глава на картата)
",Тристаен апартамент,130 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,1.0,200000,1.0,,,,1.0,,,,,1.0,,,,,
http://duo-estate.alo.bg,"Карпузица, град София, област  София
			",Тристаен апартамент,140 кв.м,Тухла,2000 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,150000,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,
http://duo-estate.alo.bg,"Драгалевци, град София, област  София, (Виж Драгалевци на картата)
",Двустаен апартамент,85 кв.м,Тухла,2010 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,173500,,1.0,,,,,,1.0,,,,,,,
http://duo-estate.alo.bg,"Овча Купел, град София, област  София, (Виж Овча Купел на картата)
",Двустаен апартамент,74 кв.м,Тухла,2015 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,125000,,1.0,,,,,,,,,,,,,
,"Люлин 7, град София, област  София, (Виж Люлин 7 на картата)
",Тристаен апартамент,90 кв.м,Панел,1981 г. (годината може да е ориентировъчна),Готов (завършен),7 етаж,Непоследен,1.0,101499,,,,,,,,,,,,,,,
,"Дружба 2, град София, област  София, (Виж Дружба 2 на картата)
",Тристаен апартамент,80 кв.м,Панел,1987 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,1.0,146000,,,1.0,,,,,,,,1.0,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Многостаен апартамент,106 кв.м,Тухла,1932 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Последен етаж,,165000,,,,,,,,,,,,,,,
,"Малинова Долина, град София, област  София, (Виж Малинова Долина на картата)
",Едностаен апартамент,47 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),В строеж,2 етаж,Непоследен,,56000,,,,,,,,,,,,,,,
,"Надежда 4, град София, област  София
			",Двустаен апартамент,65 кв.м,Тухла,2022 г. (годината може да е ориентировъчна),В строеж,3 етаж,Непоследен,1.0,77844,,,,,,,,,1.0,1.0,,,,,
,"Лозенец, град София, област  София, (Виж Лозенец на картата)
",Двустаен апартамент,98 кв.м,Тухла,1970 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,,179800,,,,,,,,,,1.0,,,,,
,"Лозенец, град София, област  София, (Виж Лозенец на картата)
",Мезонет,175 кв.м,Тухла,2005 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,,299800,1.0,,1.0,,,,,,,1.0,,,,,
,"Лозенец, град София, област  София, (Виж Лозенец на картата)
",Двустаен апартамент,98 кв.м,Тухла,1970 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,,179800,,,,,,,,,,1.0,,,,,
,"Надежда 4, град София, област  София
			",Тристаен апартамент,103 кв.м,Тухла,2023 г. (годината може да е ориентировъчна),В строеж,3 етаж,Непоследен,1.0,123600,,,,,,,1.0,,1.0,1.0,,,,,
,"Център, град София, област  София
			",Тристаен апартамент,105 кв.м,Тухла,2023 г. (годината може да е ориентировъчна),В строеж,4 етаж,Непоследен,1.0,141750,,,1.0,,,,,,1.0,1.0,,,,,
,"Център, град София, област  София
			",Тристаен апартамент,97 кв.м,Тухла,2023 г. (годината може да е ориентировъчна),В строеж,4 етаж,Непоследен,1.0,164900,,,1.0,,,,1.0,,1.0,1.0,,,,,
http://avista_expo.alo.bg,"Люлин 10, град София, област  София, (Виж Люлин 10 на картата)
",Тристаен апартамент,61 кв.м,ЕПК/ПК,1986 г. (годината може да е ориентировъчна),Готов (завършен),8 етаж,Непоследен,1.0,89000,,,1.0,,,,,,,,,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Едностаен апартамент,38 кв.м,Тухла,1960 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,,94000,1.0,,1.0,,,,1.0,,,,,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Двустаен апартамент,38 кв.м,Тухла,1965 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,,94000,,1.0,1.0,,,,,,,,,,,,
,"Карпузица, град София, област  София, (Виж Карпузица на картата)
",Двустаен апартамент,78 кв.м,Тухла,2008 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,108900,1.0,1.0,,,1.0,1.0,,,,,,,,,
,"Княжево, град София, област  София, (Виж Княжево на картата)
",Двустаен апартамент,78 кв.м,Тухла,2008 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,108900,1.0,1.0,,,1.0,1.0,,,,,,,,,
,"Бъкстон, град София, област  София, (Виж Бъкстон на картата)
",Тристаен апартамент,237 кв.м,Тухла,2020 г. (годината може да е ориентировъчна),Готов (завършен),6 етаж,Последен етаж,,250000,,,,,,,,,,,,,,,
,"Овча Купел, град София, област  София, (Виж Овча Купел на картата)
",Двустаен апартамент,65 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),В строеж,5 етаж,Непоследен,1.0,89999,,,,,1.0,,,,,,,,,,
,"Витоша, град София, област  София, (Виж Витоша на картата)
",Тристаен апартамент,132 кв.м,Тухла,2016 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,249990,1.0,1.0,,,1.0,,,,,,,,,,
,"Красна Поляна, град София, област  София, (Виж Красна Поляна на картата)
",Двустаен апартамент,50 кв.м,Тухла,2000 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,,0,,,,,,,,,,,,,,,
,"Слатина, град София, област  София, (Виж Слатина на картата)
",Едностаен апартамент,63 кв.м,ЕПК/ПК,1993 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,85000,,1.0,,,,,,,,,,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Тристаен апартамент,86 кв.м,,,Готов (завършен),,,,145000,,1.0,,,,,,,,1.0,1.0,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Тристаен апартамент,,,,,,Непоследен,,145000,,,,,,,,,,1.0,,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Тристаен апартамент,106 кв.м,Тухла,1932 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Последен етаж,,165000,,,,,,,,,,,,,,,
,"Овча Купел 1, град София, област  София, (Виж Овча Купел 1 на картата)
",Тристаен апартамент,86 кв.м,Панел,1985 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Партер,,72000,,,,,,,,,,,,,,,
http://titan_properties.alo.bg,"Малинова Долина, град София, област  София, (Виж Малинова Долина на картата)
",Двустаен апартамент,79 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,105000,,,,,,,1.0,,1.0,,,,,,
http://titan_properties.alo.bg,"Студентски Град, град София, област  София, (Виж Студентски Град на картата)
",Двустаен апартамент,79 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,105000,,,,,,,1.0,,1.0,,,,,,
http://imotivasilev.alo.bg,"Триъгълника, град София, област  София, (Виж Триъгълника на картата)
",Двустаен апартамент,64 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),В строеж,2 етаж,,1.0,85000,,,,,,,,,,,,,,,
,"Стрелбище, град София, област  София, (Виж Стрелбище на картата)
",Многостаен апартамент,150 кв.м,Тухла,,Готов (завършен),3 етаж,,1.0,285000,,1.0,,,,,,,,,,,,1.0,
,"Горубляне, град София, област  София, (Виж Горубляне на картата)
",Тристаен апартамент,234 кв.м,Тухла,2019 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,1.0,240000,1.0,1.0,,,1.0,,,,1.0,,,,,,
http://euroconsult.alo.bg,"Иван Вазов, град София, област  София, (Виж Иван Вазов на картата)
",Тристаен апартамент,107 кв.м,Тухла,1970 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,220000,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Тристаен апартамент,93 кв.м,Тухла,2013 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Първи жилищен,1.0,189988,1.0,1.0,,,,,,,,,,,,,
,"Дървеница, град София, област  София, (Виж Дървеница на картата)
",Тристаен апартамент,102 кв.м,Тухла,2012 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Последен етаж,1.0,115000,,1.0,,,,,,,1.0,1.0,,,,,
http://locationbg.alo.bg,"Център, град София, област  София, (Виж Център на картата)
",Тристаен апартамент,110 кв.м,Тухла,2023 г. (годината може да е ориентировъчна),В строеж,2 етаж,Непоследен,1.0,126399,,,,1.0,,,,,1.0,1.0,,,,,
http://locationbg.alo.bg,"Център, град София, област  София, (Виж Център на картата)
",Двустаен апартамент,80 кв.м,Тухла,2023 г. (годината може да е ориентировъчна),В строеж,,Непоследен,1.0,91488,,,1.0,,,,,,1.0,1.0,,,,,
http://dpetkov.alo.bg,"Оборище, град София, област  София, (Виж Оборище на картата)
",Тристаен апартамент,96 кв.м,Тухла,1969 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Последен етаж,,199000,,,1.0,,,,,,,,,,,,
http://dpetkov.alo.bg,"Витоша, град София, област  София, (Виж Витоша на картата)
",Многостаен апартамент,158 кв.м,Тухла,2022 г. (годината може да е ориентировъчна),В строеж,5 етаж,Непоследен,1.0,214600,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,
http://avista_expo.alo.bg,"Център, град София, област  София, (Виж Център на картата)
",Многостаен апартамент,120 кв.м,Тухла,1993 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,370000,,,1.0,,,,1.0,,,1.0,,,,,
http://avista_expo.alo.bg,"Оборище, град София, област  София, (Виж Оборище на картата)
",Тристаен апартамент,105 кв.м,Тухла,2000 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,170000,,,1.0,,,,1.0,,,,,,,,
,"Манастирски Ливади, град София, област  София, (Виж Манастирски Ливади на картата)
",Тристаен апартамент,101 кв.м,Тухла,2013 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Последен етаж,,148800,,1.0,,,,,,1.0,,,,,,,
http://avista_expo.alo.bg,"Медицинска академия, град София, област  София, (Виж Медицинска академия на картата)
",Многостаен апартамент,149 кв.м,Тухла,1996 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Непоследен,1.0,260000,,,1.0,,,,,,,1.0,,,,,
,"Зона Б5, град София, област  София, (Виж Зона Б5 на картата)
",Двустаен апартамент,63 кв.м,Тухла,2013 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Първи жилищен,1.0,145000,1.0,1.0,,,,,,,1.0,,,,,,
,"Гео Милев, град София, област  София, (Виж Гео Милев на картата)
",Тристаен апартамент,100 кв.м,Тухла,1980 г. (годината може да е ориентировъчна),Готов (завършен),10 етаж,Последен етаж,1.0,200000,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,
http://imotisofiads.alo.bg,"Красна Поляна, град София, област  София, (Виж Красна Поляна на картата)
",Тристаен апартамент,82 кв.м,ЕПК/ПК,1980 г. (годината може да е ориентировъчна),Готов (завършен),13 етаж,Непоследен,1.0,101000,,,1.0,,,,,,,,,,,,
http://imotisofiads.alo.bg,"Изток, град София, област  София, (Виж Изток на картата)
",Тристаен апартамент,111 кв.м,Тухла,1995 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,,230000,,,1.0,,,,,,,,,,,,
http://imotisofiads.alo.bg,"Център, град София, област  София, (Виж Център на картата)
",Тристаен апартамент,89 кв.м,Тухла,1940 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,,190000,,,1.0,,,,,,,,,,,,
,"Редута, град София, област  София, (Виж Редута на картата)
",Двустаен апартамент,75 кв.м,Тухла,,Готов (завършен),5 етаж,,,111240,,,,,,,,,,,,,,,
,"Редута, град София, област  София, (Виж Редута на картата)
",Двустаен апартамент,63 кв.м,Тухла,,Готов (завършен),5 етаж,,,96390,,,,,,,,,,,,,,,
,"Младост 1, град София, област  София, (Виж Младост 1 на картата)
",Двустаен апартамент,64 кв.м,ЕПК/ПК,,Готов (завършен),12 етаж,,,125900,,,1.0,,,,,,,,,,,,
,"Сухата река, град София, област  София, (Виж Сухата река на картата)
",Едностаен апартамент,47 кв.м,Панел,,Готов (завършен),7 етаж,,,59000,,,,,,,,,,,,,,,
http://imotivasilev.alo.bg,"Дианабад, град София, област  София, (Виж Дианабад на картата)
",Тристаен апартамент,100 кв.м,Тухла,2003 г. (годината може да е ориентировъчна),Готов (завършен),7 етаж,,1.0,192000,,,1.0,,,,,,,,,,,,
,"Лозенец, град София, област  София, (Виж Лозенец на картата)
",,,Тухла,,,,,,0,,,,,,,,,,,,,,,
,"Младост 4, град София, област  София, (Виж Младост 4 на картата)
",Тристаен апартамент,65 кв.м,Панел,1988 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,,120000,,,,,,,,,,,,,,,
,"Гео Милев, град София, област  София, (Виж Гео Милев на картата)
",Двустаен апартамент,59 кв.м,Тухла,1970 г. (годината може да е ориентировъчна),Готов (завършен),1 етаж,Непоследен,,125000,,,1.0,,,,,,,,,,,,
,"Слатина, град София, област  София, (Виж Слатина на картата)
",Двустаен апартамент,65 кв.м,Панел,1985 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,,90000,,,1.0,,,,,,,,,,,,
,"Център, град София, област  София, (Виж Център на картата)
",Двустаен апартамент,74 кв.м,Тухла,2010 г. (годината може да е ориентировъчна),Готов (завършен),4 етаж,Непоследен,1.0,135000,1.0,,,,,,,,,1.0,,,,,
